"nhoods1","nhoods2","sim"
"100007","13556",0.780493191824858
"100571","127521",0.709237330965673
"100943","63845",0.812801542278815
"101267","71149",0.726522037953969
"101349","38591",0.748098524567281
"10141","129108",0.772457417774911
"101777","58149",0.725933039873562
"102102","25445",0.69852825493119
"102412","152594",0.711898777836738
"10257","122546",0.704274374347965
"102981","92443",0.795783162465574
"103054","28194",0.726370402037379
"103152","84329",0.744111147069327
"10318","92974",0.770491363997222
"103270","1741",0.815757746477565
"10328","153611",0.759574313720786
"104092","159363",0.711606206838288
"104114","149154",0.73652278758263
"104757","75908",0.746283636262338
"104909","117383",0.765332403972258
"105142","141998",0.720406173141362
"105633","162316",0.697225639118029
"106119","83914",0.728039464628165
"106272","64555",0.780435063769647
"106613","99275",0.744874557664324
"106734","126695",0.784637934167051
"106745","34339",0.730377833300557
"106783","66540",0.699092224224302
"107112","61316",0.698306529899881
"107271","137333",0.668496874013039
"107397","48492",0.816761768037859
"107782","53518",0.780646086168411
"10781","116984",0.759191053990258
"107888","19126",0.728181996592299
"108094","172188",0.745891315909087
"108252","110640",0.706603889640409
"108915","153606",0.711795094417906
"109108","86363",0.751760916139569
"109329","151754",0.745028234530109
"109422","674",0.76183848609363
"109629","20243",0.762035048800539
"110175","168036",0.749761552924464
"110269","101852",0.608112629669832
"110525","23962",0.761972096110064
"111004","24674",0.672157731172021
"111285","120094",0.709136412046445
"111566","103562",0.756801359544666
"111681","72842",0.727443182174848
"111810","58498",0.736726798824875
"112478","137729",0.628913261807925
"112561","37197",0.732531117184827
"112963","147254",0.729475961085264
"112997","251",0.713284534035049
"113057","155577",0.686799647128327
"113505","126931",0.80656845508168
"113745","24453",0.679743140171541
"113897","55049",0.769071249527295
"114147","15626",0.6915143023348
"114544","27483",0.684022681759362
"114774","68804",0.702653328491754
"11509","29500",0.75179999541139
"115222","63108",0.769684665923829
"115355","9489",0.770676984910761
"115365","62372",0.831823399097438
"115470","132554",0.761240766075998
"115541","165248",0.740354849560037
"115702","166738",0.749068598178106
"115864","110977",0.785102270845968
"115901","69281",0.776298088956799
"115971","65885",0.68650344645919
"116687","142253",0.720196129994344
"116944","170994",0.752804780812828
"117797","29247",0.744830428035225
"117930","2736",0.703953077493149
"118800","157478",0.725288365199438
"11926","24604",0.704897836580527
"119377","124125",0.770226294577592
"119592","42445",0.792767302719714
"119654","69367",0.689757431518571
"120066","242",0.727610268208022
"120844","34604",0.772323722783848
"120956","85671",0.790072076097561
"121222","12981",0.746119453591134
"121378","117201",0.812108649210728
"121500","27231",0.726894149147766
"121647","16712",0.638638726137803
"121693","20971",0.800563768465019
"121954","39998",0.788635048493465
"122109","45518",0.709976969213928
"122151","58532",0.699029916480611
"122435","132071",0.806513039943492
"123306","38126",0.753799464702353
"123474","17650",0.751076008191526
"123602","118872",0.751840763468624
"123644","56481",0.681466803156305
"124293","41433",0.734273779284147
"124470","14029",0.742629230779625
"124684","172770",0.746083378552539
"124954","14569",0.746317043545724
"125194","143945",0.734391540129137
"125204","68939",0.723605672160526
"125224","158287",0.748547308164703
"125837","98244",0.727104830565108
"125957","23593",0.708688996111518
"125966","48912",0.772124651613077
"126137","106044",0.739584028912274
"126584","52786",0.814060710909854
"126753","1342",0.681244630935049
"126862","74547",0.77867580479691
"126906","92849",0.708986583599487
"127171","155701",0.663338922400789
"127274","57235",0.77696717057884
"1273","146282",0.709545471682585
"127366","10622",0.751014057928914
"127600","164016",0.749598365143459
"127651","51697",0.808538448589756
"128330","106231",0.762529061036527
"128949","146654",0.762894611103474
"128998","91621",0.792313899441808
"129066","21432",0.720097338159935
"129159","77563",0.699731906115003
"129304","154283",0.722158286064751
"129377","21271",0.710832993800402
"129609","4958",0.756314133407607
"130344","78880",0.704655069516113
"130439","156630",0.713680466617966
"130543","1453",0.759992719816763
"130884","166114",0.69244524555291
"131510","71016",0.768078767505154
"131562","4711",0.7672653840746
"131967","102606",0.81129857939785
"132556","78228",0.700100991609511
"133359","71986",0.695033901288321
"133409","1364",0.751792681471074
"133540","105832",0.766769163681651
"134049","163100",0.761746471137979
"134362","44743",0.738218590366467
"134444","52550",0.812386282524141
"134464","90242",0.806781420067688
"13453","153521",0.770580016223187
"134636","35795",0.718897871758367
"134641","146222",0.710310018474343
"134840","170394",0.685761154331488
"134908","3519",0.698660988472315
"135182","104872",0.703511914957849
"135197","67695",0.701713755482346
"135423","2014",0.700262944476566
"135616","93256",0.775013014265036
"136202","30925",0.739370702193336
"136215","167755",0.745233282726278
"136464","45989",0.756842452441203
"136810","59666",0.686487862075422
"137026","8560",0.716445831479458
"137105","96615",0.718446688225412
"137152","79175",0.802860902595936
"137256","170272",0.73656448690132
"138091","119343",0.757330196621336
"138193","133235",0.809771059508791
"138841","107059",0.780430466018221
"139085","42226",0.714512831701046
"139239","55094",0.730934370574862
"139931","46827",0.766000687258715
"14508","170885",0.762597626116872
"145847","163203",0.753515562632627
"145968","112220",0.733575676771909
"146100","140960",0.727816956920595
"146113","80710",0.724183846904525
"146431","27776",0.754308557683653
"14663","165353",0.762941998449187
"146759","148433",0.73891067760523
"147312","171596",0.725856973053095
"151343","106996",0.743533212873226
"153372","44695",0.749818494885793
"153894","146516",0.790858959332977
"153973","7951",0.772416142991504
"1549","70079",0.713630323536765
"155255","33997",0.766809904610114
"155477","95805",0.743053693116048
"155527","72102",0.74500288148408
"155981","33977",0.722452878069388
"157935","149134",0.718262923642515
"159073","148701",0.77221865882989
"161783","142221",0.73443265458819
"165259","68237",0.732507522907425
"165872","27072",0.732945801512473
"165917","92362",0.806106474979971
"166224","29990",0.760917440418776
"167033","135023",0.796514789171448
"167227","42137",0.76243113573835
"167507","91737",0.744943877531384
"168182","153782",0.742868433641106
"169171","55116",0.724979824407446
"169275","147776",0.750738909239521
"169589","25505",0.716339481111033
"170421","59534",0.688045425203403
"17049","44213",0.797969143234268
"170635","163954",0.736192607001679
"170998","159180",0.774393833330451
"172873","164902",0.734980173197385
"173366","147992",0.753981478574021
"17470","162357",0.776437452533951
"175711","116288",0.731682304844461
"176191","149148",0.745653914338871
"176679","148928",0.7470702075357
"178662","59939",0.640613304121978
"179377","25349",0.703309895842035
"179392","106862",0.666382912383237
"183392","25256",0.672545029833574
"183628","147936",0.725811144446429
"185158","118480",0.731569068160158
"186296","67076",0.740949504381504
"186325","99856",0.756909529515508
"186905","138918",0.750042949145459
"191450","171688",0.726835409448729
"19249","133260",0.757182882182463
"19288","9603",0.767815862768323
"196258","104835",0.772943722620304
"196292","144631",0.776184608353554
"196858","54700",0.822962113963932
"196872","84672",0.757492695537266
"197174","53573",0.824708147089472
"197370","160330",0.706306231720077
"198764","83359",0.784224453427123
"200045","151531",0.78857583875938
"200321","30013",0.763202747464597
"200416","50093",0.826376005344668
"200425","161807",0.695445792354376
"200456","134086",0.80019231022064
"203846","23426",0.588293571790867
"203949","20948",0.825558676351435
"205336","6843",0.761911702837007
"206975","111409",0.768968718347908
"207801","60679",0.805720345341279
"209060","142216",0.71594921712683
"209346","157596",0.712073010543559
"211873","95631",0.741141709645224
"213585","51531",0.809516183783737
"21447","161167",0.706986274036144
"215158","30072",0.779445244289979
"216819","37482",0.763453629058778
"21694","151109",0.74120349978838
"217627","57107",0.772789250774905
"21855","140826",0.703998311337055
"21955","165372",0.704054167882025
"21994","45276",0.77318418038717
"220747","95583",0.810949045187435
"22094","82095",0.744064662850378
"22541","140563",0.720584608462989
"22742","8744",0.793900481540176
"228372","113784",0.794374594422896
"22875","131609",0.805112679132839
"230093","81943",0.727225957758737
"23062","73141",0.706400817956414
"230934","13529",0.810550720432267
