"gene","cope"
"AADACL2",NA
"ACTL7B",NA
"ADGRE3",NA
"AGTR2",NA
"CCL1",NA
"CDRT15",NA
"CRYBA1",NA
"CXCR1",NA
"FASLG",NA
"FOXN1",NA
"GSTA3",NA
"IFNW1",NA
"IL18RAP",NA
"IL31",NA
"NOTO",NA
"NPS",NA
"ODF4",NA
"OR10AD1",NA
"OR10W1",NA
"OR4D1",NA
"OR4D11",NA
"OR4K14",NA
"PRR30",NA
"PRR35",NA
"SCGB3A2",NA
"SEMG2",NA
"SSX3",NA
"STATH",NA
"TLX3",NA
"TMEM202",NA
"TRIM10",NA
"UGT2B11",NA
"UGT3A2",NA
"NNAT",-0.201699674483955
"NRG1",-0.167397512855091
"ACTG1",-0.140621381270275
"C3orf70",-0.140553589254988
"INO80C",-0.128788097652037
"MAP3K13",-0.10991235936968
"TMSB4X",-0.107688240969004
"KCNA2",-0.1076603236515
"FTL",-0.101737847220001
"HSP90AB1",-0.0976899202734154
"FSTL5",-0.0972145026763712
"SNRPD3",-0.0966612524099648
"MTUS1",-0.092476219614529
"ZBTB10",-0.0908467641623618
"ZNF649",-0.0907661349919831
"ACTB",-0.0848762106961185
"IGSF1",-0.0807294202216796
"ZNF844",-0.0736012054410465
"HSPA8",-0.0734732620004536
"MT-ATP6",-0.071251725090899
"MT-ND3",-0.0703155371380546
"ZNF134",-0.0703114165099659
"MT-ND6",-0.070044888086521
"KCNE3",-0.0697482488390273
"TUBB2B",-0.0696689699978225
"C1orf56",-0.0662218444434145
"UBB",-0.065446077514764
"MT-ND4",-0.06531945165665
"FRMPD2",-0.0651028129910602
"ZNF420",-0.0635279260824153
"NLRP1",-0.061784389995963
"DDX5",-0.0599732923130995
"EIF4G2",-0.0591984919974643
"TSPAN7",-0.0585871254560037
"KIN",-0.0562195200066153
"NMD3",-0.0542386013257387
"MT-CYB",-0.0539433969004873
"MT-CO3",-0.0535062538672767
"AKTIP",-0.0530346327356811
"GNAI3",-0.0524816326880083
"MT-CO2",-0.0524367602088458
"MLPH",-0.0522759070829819
"APLP2",-0.051206292885515
"HSP90AA1",-0.0502410006109847
"ZNF627",-0.0501677496052741
"GIMAP4",-0.0488515449325444
"ARMS2",-0.0483267905564504
"CALM2",-0.0463832841637205
"IL12RB1",-0.0463658038759258
"ZNF226",-0.045735163700066
"ABCG5",-0.0451584443430351
"OR56B1",-0.0446830472663983
"TNFSF15",-0.04443119453063
"RNF180",-0.0440642593793564
"CMKLR1",-0.0433724555041071
"TUBA1A",-0.0433163409585122
