"nhoods1","nhoods2","sim"
"1113","9281",0.617583335595907
"1237","884",0.61406766844356
"1265","2957",0.547159953194516
"1530","4698",0.541061976614062
"1720","9204",0.636789494100275
"2173","8217",0.731060811075622
"222","5163",0.639439600104514
"2456","9918",0.517151155427305
"2469","7468",0.634871745748487
"2586","738",0.694047681888058
"295","1348",0.644699366853782
"3065","8387",0.654407862788532
"3207","1545",0.559413026053256
"3212","5816",0.677071249660097
"3492","6562",0.719636937455774
"3911","5527",0.636142376219153
"3942","1520",0.686274505060803
"4038","6572",0.679147088213142
"4302","5842",0.494109791098392
"4332","3532",0.675252807513605
"4361","3212",0.626156964474952
"4432","6015",0.623752087360982
"4463","6656",0.653936018153019
"465","7045",0.668364788955022
"502","804",0.698249578487722
"5058","4952",0.69223880308215
"5296","9014",0.697295299502354
"5605","8255",0.416618065804372
"565","8631",0.640649207548689
"5791","1244",0.684283179364859
"5853","6159",0.657645540991062
"5919","7044",0.667858423614765
"6058","5619",0.681056959235983
"6177","9152",0.654656374593514
"6386","8577",0.6250013678696
"6493","6899",0.701983084226291
"6847","9368",0.614230034552631
"6874","5105",0.550985445818854
"6890","7484",0.656201363357115
"706","5689",0.689986284592098
"7099","480",0.63835223302981
"7176","9285",0.689409630863472
"747","3132",0.661032387772367
"7771","3288",0.742817004201165
"7783","8472",0.572990369363564
"8011","972",0.675343913372099
"8057","1238",0.557540673580243
"8483","9903",0.502226316471652
"8528","8604",0.684036431204235
"8540","8638",0.60034743943056
"8602","18",0.633778814578789
"8695","5777",0.350631053434263
"8711","7278",0.69266904469485
"8776","537",0.565831934256396
"8783","3900",0.606910772410293
"882","7628",0.67700474663284
"9072","4931",0.697091836040015
"912","1878",0.649806848662395
"9221","7438",0.569633419578784
"9422","680",0.68588100178565
"9605","9570",0.611008297417851
"9613","8654",0.684008796071026
"9993","4685",0.662262640339422
