"nhoods1","nhoods2","sim"
"102198","138955",0.646812125645999
"102253","73469",0.686040474338901
"102370","145597",0.638921435852264
"102489","107753",0.703276934688193
"102847","237224",0.704321768120748
"103985","195287",0.658602887069878
"104872","24653",0.668683704885132
"105531","36265",0.682656069808174
"108723","124655",0.693060440800465
"108910","128629",0.663243240379607
"109109","93361",0.727211768821636
"111457","116044",0.700847717240159
"113621","39857",0.742458388980729
"113908","195795",0.707838947273059
"114403","104485",0.658418698483872
"115594","106941",0.658524014369456
"115942","51730",0.731224004601891
"118550","174797",0.666531744830124
"119785","58618",0.641625293340264
"119932","17295",0.727064663200336
"121152","142870",0.674926951698042
"121355","49898",0.729692004387712
"121963","161475",0.664725352465768
"122087","79130",0.657193786322916
"125368","35814",0.66337021623375
"125517","140568",0.61502560512734
"126887","98918",0.660906795441732
"128212","153309",0.682394694051098
"129210","190211",0.640706163139512
"135221","56655",0.657742362943825
"136436","119922",0.755894650607996
"138518","22144",0.656658374155595
"139434","141412",0.670953064573023
"139443","138332",0.692564024341306
"141249","37217",0.687029667372278
"141373","85270",0.724938550241609
"141442","61344",0.695599559593426
"141619","24740",0.665462045102542
"141985","203178",0.718664928305055
"145187","65756",0.632911333767965
"145589","72381",0.686487412647217
"14576","31505",0.63559762167489
"146127","163328",0.68538081780162
"14785","125966",0.682822712332132
"14999","169177",0.703294634275181
"150114","15001",0.715456065291935
"152952","105048",0.694363078358652
"153069","11136",0.698157274317281
"15332","141971",0.706816263517844
"153338","175288",0.66747921462256
"153485","72995",0.69160507898199
"153692","163212",0.686585089818576
"1546","148959",0.690429331674463
"15530","23680",0.659833402303512
"156389","98996",0.658331130859792
"15642","85047",0.724571403580999
"156505","175885",0.674603839339961
"15841","198864",0.798539961760747
"15956","167502",0.629475781937872
"16061","59317",0.628692822931408
"16121","124968",0.699680689131883
"163159","136993",0.663684382894262
"16499","73160",0.643591352129504
"165610","191778",0.666679224016522
"166088","167584",0.699361697397544
"1661","58619",0.659654184019472
"16706","32956",0.683670417278423
"16837","45179",0.816984372515661
"1717","163876",0.677442378092044
"17392","187956",0.808043926711402
"174232","104398",0.6944429072681
"17662","179622",0.711531250875323
"179230","18182",0.652503579146939
"1806","181497",0.718541006596624
"18108","132735",0.803999789535567
"182006","148096",0.677209584986306
"18267","45549",0.633213668756412
"183893","143548",0.699621760373127
"183905","173309",0.705542457263866
"184119","162906",0.686455876194616
"186199","128731",0.695869331349452
"18628","158161",0.7104547947507
"186458","36473",0.704712503948188
"186508","7162",0.669156221653439
"186662","11959",0.62956500397765
"19077","113652",0.748517617744368
"19154","174653",0.715172371502092
"191567","37315",0.702009322966568
"191715","157532",0.686631674050641
"191733","57817",0.719517895393288
"19417","174054",0.721888391912367
"19450","9056",0.753549435609171
"19515","82588",0.690049807609176
"195237","125849",0.794066929422088
"196396","215705",0.782051238617616
"19653","192618",0.737531149691164
"19731","168170",0.743348412723569
"197313","198176",0.774288723475923
"19770","175945",0.756708684056359
"19778","143947",0.73902482062542
"19831","157692",0.691515981671938
"198509","140589",0.695545815818614
"199073","150027",0.649543885472948
"19933","149678",0.693375614016797
"199818","88194",0.77196259417829
"200110","55827",0.728974346070308
"200320","212355",0.793139632974079
"200364","74744",0.667828355613502
"200683","201549",0.660182156720712
"201678","105883",0.669244721888502
"20230","148789",0.707538169537204
"202394","98065",0.689495753506041
"202515","208422",0.815971831736346
"20299","57108",0.709809597945072
"202996","13616",0.731010706992833
"203075","50110",0.792098687944963
"203422","19066",0.793171344592543
"203507","183634",0.617358169011831
"20400","185003",0.692641925214835
"204194","20499",0.77705348723647
"204198","47595",0.717374805596291
"204325","176818",0.782019116599367
"204894","72539",0.698910817540866
"205050","192137",0.743321441319888
"205225","41199",0.749569584849451
"205437","1705",0.7138782913135
"205648","197816",0.649835996620033
"206167","227385",0.790762162541173
"206226","197135",0.74740706387344
"206291","94324",0.738539247697772
"206537","98594",0.692873916535124
"206808","217231",0.800588606098536
"207522","188421",0.695088537376921
"208161","176946",0.716500739890632
"208310","64818",0.722992670392122
"208631","29156",0.798723505152869
"208642","167155",0.710141539299566
"208849","88547",0.676359468233345
"209209","224286",0.758918680179381
"209739","132544",0.785568235858241
"210509","65099",0.798330011136317
"211229","207824",0.754381471646148
"211443","163548",0.603692675586144
"211914","218302",0.735726068422706
"211932","211183",0.817885757616994
"212367","135469",0.703933884752708
"212871","168758",0.670528540539299
"213657","170924",0.656825458047198
"213940","153095",0.673134090380357
"213996","140673",0.712443569157379
"214074","88387",0.685575746890678
"214299","196690",0.738140611057517
"214319","220461",0.797321540801732
"214331","106856",0.680896889629319
"215226","194121",0.743238928786514
"215393","84533",0.687864154220781
"215657","65274",0.7529187085573
"215748","166922",0.698838894323642
"215941","204688",0.765045294356964
"215974","167559",0.658602423327566
"216298","94122",0.758937416973905
"216468","181772",0.768977104763434
"217222","72892",0.64774559048504
"217377","16321",0.728000934798865
"218536","145355",0.643717383008165
"219281","163192",0.680615546617119
"219433","98175",0.733450726572626
"219810","144493",0.715072290175911
"219828","217071",0.770180914795001
"219839","31980",0.619849976212493
"219861","134855",0.721095502771915
"219975","9599",0.761881984088436
"220714","10559",0.755761976833513
"221213","152588",0.732248625814442
"221239","54275",0.801809708469645
"221918","49212",0.751290023230353
"222357","201911",0.660539035643176
"2225","222817",0.735546989074239
"222523","139483",0.718864801328854
"222589","50940",0.806906755992614
"222736","29506",0.733929949110457
"223423","84370",0.782267868438331
"224481","108997",0.80041361790723
"224517","187762",0.74145895724454
"224524","175184",0.675757563678164
"225110","229937",0.783185064637564
"225184","183857",0.793934084609463
"225335","90414",0.750970070593141
"225420","240767",0.776606207407304
"225473","182088",0.765307028061053
"226116","20923",0.749530793918498
"226439","116469",0.756154001626146
"227393","210622",0.823753597168846
"228165","188280",0.68166756458586
"230465","131301",0.640013420802296
"231393","132126",0.808553596588001
"231414","173269",0.641655852244795
"231512","62534",0.809554677843122
"231593","223552",0.730557039486223
"232011","100282",0.710368822923809
"232138","80912",0.720130218275623
"232145","211326",0.770350315445511
"232164","243282",0.756495027237768
"232284","145660",0.711603748019809
"232544","159982",0.563016629781556
"232998","2633",0.692846594728322
"233162","59033",0.700230520526245
"233201","101366",0.830709594729458
"233359","52177",0.791289667700229
"234121","36963",0.643620500427061
"234134","19391",0.823739680000899
"234448","46626",0.743808289786851
"234578","127606",0.625392751813305
"235375","154027",0.694362894585321
"235722","4883",0.727150222521357
"235939","209819",0.790943788977779
"235974","226230",0.764309992489977
"235986","234563",0.763206208913217
"236490","177789",0.629465785174357
"236495","181228",0.793193394743787
"236874","242839",0.665948697078174
"236927","213913",0.797088749906584
"237743","63786",0.744754693540875
"237750","206588",0.74810881589593
"238099","48773",0.726031523336555
"238355","53163",0.814787356812346
"238399","100542",0.784383302635554
"239573","191562",0.683398904190926
"239777","167015",0.668172779256547
"240837","199314",0.741735585003987
"241065","56240",0.740142837076274
"241446","84635",0.72416665160673
"241967","163233",0.730551439623156
"243448","191979",0.723607808003706
"243457","243889",0.782329692138331
"243512","134122",0.786330890013631
"243887","227111",0.778203239369599
"243969","51028",0.838257046956111
"244591","104897",0.758877040407456
"244637","16562",0.817951545206366
"244968","207230",0.757783692784821
"246191","241923",0.757619620954488
"246539","43794",0.73038846548936
"246872","54427",0.788296486520509
"246919","95079",0.7308280351044
"246951","171505",0.638511697269379
"247477","73309",0.684619300647007
"247510","158914",0.661379468159525
"247872","168423",0.730449332008605
"247877","83485",0.695634842018755
"248006","209532",0.702712067984291
"248036","213123",0.803964886535758
"248466","69890",0.745818929496498
"248752","166600",0.660606287057512
"249105","219330",0.776584713866797
"249323","167787",0.735521735264836
"249417","210871",0.743313976001883
"249425","133337",0.744347461118944
"249434","73150",0.671919524349271
"249905","43400",0.669100148465862
"251630","100654",0.743510594915098
"252179","226181",0.745674128207958
"252463","43222",0.71998448908959
"253096","158876",0.655340033926852
"253538","129571",0.676426127170409
"253615","167818",0.784983008030331
"253908","223994",0.800178662472283
"253998","30092",0.74577275754132
"254318","74253",0.735672499708373
"254534","168726",0.727355005708379
"254634","2235",0.6686016035762
"255027","128359",0.808405594723827
"255541","224472",0.764487865512219
"255908","212526",0.788841200818906
"256494","158386",0.684703782223252
"256705","54513",0.789504044584016
"256731","9059",0.740973096380195
"256881","215651",0.726559397306019
"257021","99476",0.797208216064216
"257218","48916",0.786425479784523
"25741","202942",0.702223146780725
"257476","135433",0.742046357024073
"258958","177632",0.671406110415031
"259384","72220",0.678283191664952
"259738","85161",0.674131455186097
"259821","61519",0.696101253764239
"260235","169506",0.739673769031034
"260415","143177",0.67911855251566
"260529","195332",0.740661043335811
"260634","54566",0.801769027635309
"2609","152995",0.718381354741238
"260914","188388",0.773265456461021
"261055","200543",0.726361984071441
"261083","112545",0.760505338290547
"261126","209352",0.76857604704204
"261140","50735",0.730828288412134
"261168","209515",0.801045206986775
"261204","54238",0.815910373139107
"261323","52865",0.782185273467264
"261645","17000",0.735737340298657
"261831","83851",0.719236241282101
"262068","200548",0.76333913195519
"262304","209039",0.785278526162744
"262350","6295",0.738917660929289
"262413","187287",0.692359348467325
"262487","57218",0.68015179351968
"262587","36042",0.684286612910292
"262650","89492",0.787717771210618
"262916","233639",0.814474277734359
"263066","148382",0.688635460452803
"263161","111968",0.682120449112941
"263178","54125",0.749304772384112
"263476","115166",0.696043735638692
"263687","86413",0.717486870300947
"264068","102970",0.719984186871911
"264677","173563",0.71507074267815
"265253","130003",0.723381368931726
"265282","13875",0.737658470274622
"265582","41474",0.725969339797332
"266132","34888",0.712479419082213
"266428","227352",0.768460355033047
"266943","68627",0.640340679038336
"267201","170710",0.636254211898856
"267332","77327",0.745715113696423
"267423","113941",0.724766267635116
"267441","25760",0.751728769970665
"267466","176102",0.768564670391884
"267497","49905",0.809163355388953
"268380","74959",0.761823753524484
"268682","227823",0.734648233858043
"268694","32803",0.708668225822114
"269767","125509",0.767659731890971
"269785","182188",0.68378620725305
"269803","34293",0.71119665233581
"269866","95434",0.80640019823093
"271213","53425",0.776102295544983
"271569","10974",0.791677923902909
"272134","95196",0.669793609579013
"272279","215137",0.7972264322905
"273391","107882",0.701086202439697
"274757","114594",0.697527795012451
"275189","231774",0.687390739198723
"275390","94667",0.757744922571647
"275541","129516",0.753665679135289
"276317","153168",0.702831136966954
"277371","73672",0.705981163053202
"277421","108131",0.705979695969001
"277784","102217",0.665420645735072
"277825","102402",0.730883736614357
"277845","3213",0.722470432024365
"278717","109819",0.720857152322186
"279031","124464",0.748287445922321
"279340","95894",0.70247847979033
"279399","107965",0.740142636739924
"279434","11375",0.705557473938409
"279864","232459",0.721127619412384
"281037","196135",0.703741681326802
"281160","126391",0.697622275529544
"283247","149881",0.617347048390717
"283716","94504",0.698425562915061
"284137","233742",0.69236991670607
"284183","89682",0.720822154478441
"284840","203260",0.659037369026091
"285039","91523",0.773637956396833
"285046","574",0.674036498644458
"285238","60682",0.646599705488291
"285830","148562",0.637521621037454
"286168","62947",0.795866879860084
"286230","2322",0.740999485145602
"287024","173398",0.701111742048289
"287338","165291",0.741225593135034
"287521","166707",0.715619534265535
"287599","144834",0.725417507103544
"288071","89544",0.596036333014693
"288107","90065",0.752273412826453
"288182","99007",0.772224468522484
"288293","136548",0.659401827587357
"288856","838",0.714051755112722
"288873","7338",0.717205541534333
"289494","139913",0.580031041392046
"289498","169258",0.682657304681057
"289537","218091",0.76260439350319
"289858","72375",0.688248063840675
"289875","61252",0.709588319881522
"289896","194302",0.722129015007401
"289989","192737",0.719355906579253
"290230","225077",0.82101349031596
"290509","116880",0.839986841190637
"290570","166160",0.735766070985658
"290585","168465",0.745157456928657
"290712","120921",0.77235837220468
"290782","138774",0.723245373061277
"291095","156066",0.692299591125889
"291338","39759",0.737841026350359
"291908","208809",0.749296465991709
"291994","84214",0.751275658071835
"292044","222403",0.790297667973664
"292621","188003",0.736111685147207
"292736","155697",0.673320806416129
"292942","150260",0.68771886799134
"293142","88766",0.628051918054151
"293352","106715",0.761150250828608
"293403","115548",0.715770266498965
"293583","50317",0.79836421924154
"293792","243875",0.753740384437522
"293976","173832",0.74265937811959
"294338","102618",0.742770122346361
"294467","169055",0.661250123037065
"294808","121389",0.648108291297222
"294817","7572",0.600473550666337
"295089","22999",0.650413818697725
"295532","145177",0.649267163493155
"295604","30472",0.718407564870091
"295767","243366",0.613128075472256
"296607","57432",0.677816321767889
"296773","44589",0.757992873206578
"297306","128536",0.75161012311996
"297930","111169",0.733754254362764
"298255","235186",0.746805672149239
"298377","190892",0.752913848629769
"298536","175576",0.696437987189931
"298578","127574",0.631197100070143
"298664","206796",0.747742303436159
"298679","85461",0.717937065123497
"298806","100092",0.711320009660579
"299031","94031",0.787690367137398
"299127","168399",0.685270590575503
"299141","77272",0.790183755786899
"299475","162169",0.713683602511918
"299951","183725",0.748007731567325
"300234","206268",0.655410280127286
"300683","76140",0.754101804932987
"300916","1315",0.663915287424198
"300928","76259",0.677606173805519
"301154","230011",0.777758843017179
"301482","3102",0.680263900550453
"301632","121345",0.715325367781131
"301642","33045",0.731299914411736
"301652","10220",0.775993470790328
"302482","221243",0.765719772240464
"302765","30773",0.736053848954079
"303002","95306",0.750624399829592
"303310","184722",0.734088181565712
"303371","129237",0.641402657401209
"303774","52108",0.75843677369464
"303914","115351",0.73441863534434
"304257","216894",0.724271298297291
"304652","220407",0.842495531108751
"304669","77245",0.818753366217802
"304775","210149",0.784902137546999
"304796","161083",0.71055246671003
"305071","139064",0.723441295432315
"305319","224322",0.77321391982262
"305481","94177",0.750481628709616
"305609","195702",0.717096939018811
"306532","197292",0.646016789384685
"307267","103874",0.700898228249825
"307428","164378",0.594439776319495
"307704","122744",0.72739911116799
"307902","79719",0.723034367393981
"308070","74838",0.733303674301468
"308093","125516",0.746664069392363
"308140","188346",0.755869151087175
"308228","12093",0.739035103254101
"308312","125015",0.739430867011404
"308330","123099",0.832563237181899
"308379","42000",0.641412544606925
"308622","194560",0.756879192710399
"308783","151562",0.651972459935441
"308860","219057",0.810730012882919
"309771","133380",0.790541381685494
"310270","168438",0.706668564456544
"310401","208617",0.795796931230582
"310511","183327",0.78910740849751
"310888","132993",0.761870889297227
"310967","223500",0.80969480533295
"311199","92814",0.703175949669695
"311553","179576",0.689473167659122
"311646","147315",0.68345781705145
"311759","119958",0.703575226035519
"31181","96245",0.662245029147819
"312175","204374",0.77460297700392
"312409","65219",0.810749618442518
"312425","132873",0.75273559027824
"312704","195005",0.749841865154834
"313815","179276",0.764845207315841
"313979","129128",0.651278819916412
"314470","138693",0.670183869017052
"314515","33113",0.655768639150001
"314597","36324",0.714546751522825
"314714","119127",0.640685933431621
"314861","36125",0.739792800528172
"315446","168735",0.754865267338171
"316324","8929",0.777682249463867
"316683","149759",0.658963819289721
"317207","92782",0.693267452605227
"317397","23682",0.731299530730159
"317489","220419",0.797201585918539
"317592","207634",0.75355106258659
"317869","207253",0.826869721249688
"317973","146621",0.632230033512188
"318703","48081",0.780320549070069
"318746","64768",0.824572587407837
"319355","140084",0.686859965839662
"319619","77982",0.736471590324675
"319854","99044",0.762855351024588
"320073","197271",0.637063402803584
"320103","128681",0.758412714362091
"320264","180273",0.62655684688949
"320357","232668",0.761045534158224
"320432","178460",0.724341474843927
"320727","169740",0.730995824588852
"320791","153560",0.680070104519567
"321257","164714",0.726447352987035
"321412","135369",0.752327693769325
"321470","169865",0.664915097315813
"321796","29674",0.821029220386555
"322170","124391",0.824788186853158
"322572","125510",0.713384616081225
"322869","194257",0.744439611091806
"323036","172027",0.72863085418142
"323557","202459",0.714133997372131
"323783","106625",0.767954492182952
"323869","33772",0.675542671754442
"324028","180675",0.647307154555158
"324372","35901",0.725362870729745
"324440","86707",0.703454711154058
"324491","163878",0.612890434992341
"324783","145614",0.673962356524181
"325134","61087",0.749679726927491
"325148","152006",0.708186390214645
"325233","232870",0.778085280629875
"325290","40116",0.766452656252593
"325749","52843",0.807577155395233
"326444","133590",0.781871108199601
"326510","92134",0.741775054156544
"326578","201871",0.728272205382467
"327695","156826",0.662357512956487
"327810","125485",0.695610039832772
"327981","3020",0.742536791880158
"328343","73005",0.640022508788474
"328682","128018",0.769983669702655
"329056","185595",0.741926065976871
"329740","11299",0.76823562363899
"329889","109548",0.766773101198504
"330226","4319",0.711789062234468
"330342","85109",0.736580187655963
"330930","120031",0.695152867664015
