"gene","cope"
"ACTL7A",NA
"ATOH1",NA
"CALCA",NA
"CCL1",NA
"CD80",NA
"CPA1",NA
"DBX1",NA
"GAST",NA
"HOXA2",NA
"IGHM",NA
"KLRK1",NA
"KRTAP4-12",NA
"LCE2A",NA
"MYBPH",NA
"OR4D1",NA
"OR5A1",NA
"OR8B12",NA
"PGLYRP3",NA
"PRB4",NA
"PRR30",NA
"RNASE10",NA
"S100A12",NA
"SEMG2",NA
"TREML4",NA
"UGT2A2",NA
"NRG1",-0.161287213594968
"INO80C",-0.094151094783871
"PRSS55",-0.0604724952035763
"MYF6",-0.0527723409138453
"FGF19",-0.0418608520573026
"KCNH7",-0.0413449464190114
"C15orf62",-0.04063829524356
"GPR183",-0.0403101781773134
"FABP4",-0.0397849593656794
"SUSD1",-0.0397464503011448
"PAK5",-0.037790379753656
"UMODL1",-0.0362377141415297
"VPREB3",-0.0351937381649827
"GPR171",-0.0351532148022746
"GRK3",-0.0342934652907336
"PEG3",-0.0332414028485877
"LTK",-0.0326009549067183
"LRRC38",-0.032585895631946
"LOXHD1",-0.0318408057556881
"KMO",-0.031461651103347
"SIM2",-0.0313093600610213
"EMCN",-0.0311980158710567
"COL8A1",-0.0298557068178948
"GNRHR",-0.02970493059617
"OMD",-0.0297039462078596
"STUM",-0.0293234823989725
"ZSCAN5B",-0.028365670789423
"PATJ",-0.0279984722553777
"OR9Q1",-0.027241262312643
"PROKR1",-0.026871675915294
"ABCB5",-0.0268200316037234
"SLCO2A1",-0.0266295474429424
"ONECUT1",-0.0264969736804544
"ZBTB32",-0.0259044759261004
"CD209",-0.0257328424968834
"ALDOB",-0.0254387989436291
"WDFY4",-0.0253188215965758
"AVPR1B",-0.0252696493348742
"CTNND1",-0.0251708511662555
"TXNDC2",-0.0249660601595555
"ADAM21",-0.0242015948781436
"TAS1R1",-0.0240833968871664
"STOML3",-0.0235384262644826
"SOST",-0.0235329043442719
"SLC5A1",-0.0235242733184031
"PCSK9",-0.0234067331448567
"RBM46",-0.0232892984696735
"FAM217A",-0.0228502868319248
"EDN3",-0.0225736067279066
"LILRB4",-0.0223471139237682
"GDF10",-0.0221178771645411
"TTLL10",-0.0219272660781236
"MMP10",-0.021765272918229
"TNFAIP6",-0.0217252891309233
"FBXO47",-0.0215744549784841
"TBX5",-0.0214476761518932
"GPR20",-0.0212876621964712
"KYNU",-0.02119331731329
"EDAR",-0.0211474898096891
"LDLRAD1",-0.0210238998907961
"SPTA1",-0.0210238989051194
"PBOV1",-0.0209733083427943
"OVCH2",-0.020891008861059
"APOBEC4",-0.0208887126911001
"JCHAIN",-0.0207891767853774
"P2RX1",-0.0207697078550541
"PLA2G2C",-0.0206871054148919
"OSR2",-0.0206589437660385
"TMPRSS11B",-0.0206070746337007
"KLRG2",-0.0206053010874553
"CARMIL1",-0.0205890647295145
"PAX1",-0.0203904711570225
"ASB15",-0.0203611577226915
"FMO2",-0.0202427104011723
"GDPD4",-0.020216113784753
"AICDA",-0.0202063324793387
"PPP1R3A",-0.0200853646379137
"HBB",-0.0199065307331469
"UCN3",-0.0198453755618344
"KLRB1",-0.0198442166863797
"BLK",-0.0196906623658703
"MUC17",-0.0196217076660507
"ACTL7B",-0.0194118488576799
"IGFN1",-0.0193813839212651
"NKG7",-0.0192051235272874
"PRRX2",-0.0192010506762279
"CD3G",-0.0188947911507957
"CLEC6A",-0.018720345001985
"TBC1D2B",-0.0187189222911159
"BRS3",-0.0185156575395068
"APOBEC2",-0.0184548991297379
"MROH9",-0.0183471600421043
"CXCL11",-0.0182514675084735
"CD70",-0.018199947387771
"CYP3A4",-0.0181999449097947
