"nhoods1","nhoods2","sim"
"1058","2740",0.596754132780534
"1301","9447",0.603773183394546
"1471","1447",0.562059651239329
"1487","5852",0.565212068298579
"1504","5791",0.666452861149467
"1548","3419",0.653271714865684
"1559","986",0.528336935634251
"1587","2606",0.46574327384198
"1608","8010",0.561188234008974
"1642","8324",0.659918906778992
"185","5626",0.519717915062556
"1958","1552",0.605384331555321
"2115","2984",0.580853351214296
"2304","8813",0.470205025611846
"2534","7139",0.578780473541514
"2629","3863",0.517486163983419
"2690","5445",0.596588533927025
"2881","9559",0.54134584927382
"2976","6123",0.577875798898118
"2991","1434",0.551967040251612
"3005","1027",0.548890102583656
"3047","6371",0.558493193128261
"3122","8718",0.621263745058973
"3172","2319",0.641041630807598
"328","7688",0.561696985347247
"3335","5923",0.49609597669516
"3360","3238",0.624828491119182
"3381","6439",0.582975059926365
"3472","5169",0.590744793173841
"3497","6280",0.580887329772809
"3628","4673",0.431009437824532
"3637","4160",0.592578052214484
"3701","8047",0.601266600025174
"3741","7907",0.543995274795352
"3791","4291",0.608739294143522
"3831","5628",0.60265988325021
"3861","3692",0.63193808758591
"4051","5148",0.451621269122679
"4211","7785",0.552703610683681
"4341","6540",0.506391906576641
"4486","1158",0.580454996624112
"4531","2602",0.37853166086162
"4608","8041",0.546445301174066
"4630","2438",0.567816269313902
"4688","6332",0.530742579929702
"4746","729",0.449026126175243
"4845","2622",0.634633740416055
"4958","9856",0.475232338404873
"4981","162",0.646347883981535
"502","9344",0.609243201361934
"5063","5656",0.449775655961131
"5394","5163",0.534374127482486
"5578","6117",0.597099369836805
"5786","1980",0.599863764207855
"5802","1687",0.605607259254827
"5940","6410",0.526108488446571
"598","6678",0.579940452772369
"5987","9964",0.580358393165022
"6031","2415",0.505745830597063
"6118","1619",0.515072121720839
"6159","6279",0.453143576182692
"6513","26",0.557123931156018
"657","8399",0.633776043960232
"666","1116",0.542256291991995
"6812","9722",0.606685774282282
"6985","2779",0.601256778581516
"7199","1415",0.441673918818571
"7239","1620",0.550063445082969
"748","781",0.616087632664339
"7735","4297",0.616430249021222
"7781","9731",0.646288599602546
"7843","3487",0.617186128058398
"785","25",0.487573389013467
"7894","4795",0.562277778812226
"821","237",0.428597570372062
"8282","2771",0.624299406765303
"8315","94",0.542570447041534
"8355","1106",0.492019455988865
"8477","7455",0.568289208316365
"8532","9785",0.577585716947998
"8717","1502",0.556637433596731
"8820","4891",0.539649435761196
"8920","6055",0.437369602882626
"8970","887",0.587114216498664
"9083","396",0.629288382334791
"9309","8412",0.448745506931635
"938","7340",0.569854556721335
"9439","204",0.683990100671997
"9462","9975",0.593519169262762
"9522","9791",0.588272990630671
"9763","4281",0.636783038387536
"9866","5421",0.662340398189407
