"gene","cope"
"A4GNT",NA
"ABO",NA
"ACAN",NA
"ACMSD",NA
"ACOT6",NA
"ACP5",NA
"ACSL5",NA
"ACSM5",NA
"ACTN3",NA
"ACVRL1",NA
"ACY3",NA
"ADAM18",NA
"ADAMTS14",NA
"ADGRE2",NA
"ADGRF1",NA
"ADGRG3",NA
"ADGRG4",NA
"ADGRG5",NA
"ADGRL4",NA
"ADH4",NA
"ADIPOQ",NA
"ADORA3",NA
"ADRA2B",NA
"AGR2",NA
"AGRP",NA
"AGTR1",NA
"AGXT2",NA
"AIRE",NA
"ALAS2",NA
"ALDH3A1",NA
"ALOX5AP",NA
"ALS2CL",NA
"ALX1",NA
"ALX3",NA
"ALX4",NA
"AMBP",NA
"ANKK1",NA
"ANKRD30B",NA
"ANKRD30BL",NA
"ANKRD33",NA
"ANKRD34B",NA
"ANKRD60",NA
"ANKRD61",NA
"ANKRD66",NA
"ANO9",NA
"ANPEP",NA
"AOC3",NA
"AOX1",NA
"APBB1IP",NA
"APCDD1L",NA
"APELA",NA
"APOA5",NA
"APOB",NA
"APOBEC3A",NA
"APOBR",NA
"APOL5",NA
"AQP7",NA
"AREG",NA
"ARHGAP40",NA
"ARL5C",NA
"ARMS2",NA
"ARRDC5",NA
"ASB15",NA
"ASB18",NA
"ASB4",NA
"ASGR2",NA
"ASIP",NA
"ASPG",NA
"ATP4A",NA
"ATP4B",NA
"ATP6V0D2",NA
"AVP",NA
"AZGP1",NA
"BARHL1",NA
"BATF",NA
"BCL2A1",NA
"BCL2L10",NA
"BCL6B",NA
"BCO1",NA
"BDKRB1",NA
"BDKRB2",NA
"BEND2",NA
"BHMT2",NA
"BIRC7",NA
"BLK",NA
"BRS3",NA
"BSPRY",NA
"BTLA",NA
"C10orf105",NA
"C11orf16",NA
"C11orf21",NA
"C11orf40",NA
"C11orf97",NA
"C14orf180",NA
"C14orf39",NA
"C16orf96",NA
"C17orf78",NA
"C19orf67",NA
"C19orf84",NA
"C1QA",NA
"C1QB",NA
"C1QC",NA
"C1QL4",NA
"C1QTNF8",NA
"C1QTNF9",NA
"C1orf146",NA
"C3AR1",NA
"C3orf49",NA
"C4orf51",NA
"C5orf58",NA
"C6",NA
"C7orf57",NA
"C9",NA
"C9orf57",NA
"CACNA2D4",NA
"CALHM1",NA
"CALML6",NA
"CAPN8",NA
"CARD11",NA
"CASP4",NA
"CASP5",NA
"CASQ2",NA
"CATIP",NA
"CBLN3",NA
"CBY3",NA
"CC2D2B",NA
"CCDC166",NA
"CCDC17",NA
"CCDC27",NA
"CCDC33",NA
"CCDC54",NA
"CCDC89",NA
"CCL20",NA
"CCL3",NA
"CCL5",NA
"CCL8",NA
"CCNB3",NA
"CCNO",NA
"CCRL2",NA
"CD163",NA
"CD164L2",NA
"CD180",NA
"CD2",NA
"CD209",NA
"CD300C",NA
"CD300LB",NA
"CD33",NA
"CD3D",NA
"CD52",NA
"CD5L",NA
"CD6",NA
"CD79B",NA
"CD80",NA
"CD86",NA
"CD93",NA
"CDA",NA
"CDH15",NA
"CDHR4",NA
"CDHR5",NA
"CEACAM5",NA
"CEACAM8",NA
"CEBPE",NA
"CEP295NL",NA
"CERKL",NA
"CES1",NA
"CFAP52",NA
"CFAP99",NA
"CFB",NA
"CHI3L2",NA
"CHMP4C",NA
"CHP2",NA
"CHRNG",NA
"CHST4",NA
"CIITA",NA
"CILP2",NA
"CKM",NA
"CLDN2",NA
"CLDN4",NA
"CLDN9",NA
"CLEC10A",NA
"CLEC3A",NA
"CLEC4D",NA
"CLEC5A",NA
"CLEC6A",NA
"CLEC7A",NA
"CLPS",NA
"CLPSL2",NA
"CNGB3",NA
"COL2A1",NA
"COL6A5",NA
"COX4I2",NA
"COX7A1",NA
"CP",NA
"CPA2",NA
"CPA5",NA
"CPA6",NA
"CPB2",NA
"CRP",NA
"CRX",NA
"CRYBB2",NA
"CRYGD",NA
"CRYGN",NA
"CSAG1",NA
"CSF1R",NA
"CSF3R",NA
"CSNK1A1L",NA
"CST6",NA
"CT55",NA
"CT62",NA
"CTCFL",NA
"CTRB2",NA
"CTRC",NA
"CTSE",NA
"CWH43",NA
"CXCL10",NA
"CXCL6",NA
"CXCL8",NA
"CXCR1",NA
"CXorf65",NA
"CYP1A2",NA
"CYP24A1",NA
"CYP2S1",NA
"CYP2W1",NA
"CYP3A4",NA
"CYP4A11",NA
"CYP4F11",NA
"CYSLTR2",NA
"DAO",NA
"DAPP1",NA
"DBH",NA
"DBNDD2",NA
"DCST2",NA
"DDX4",NA
"DDX43",NA
"DEFB134",NA
"DENND2D",NA
"DHH",NA
"DHRS2",NA
"DIO1",NA
"DKK4",NA
"DLX3",NA
"DMBT1",NA
"DMKN",NA
"DMRT2",NA
"DNAH3",NA
"DNAI2",NA
"DNASE1L3",NA
"DOK2",NA
"DOK7",NA
"DPEP2",NA
"DSPP",NA
"DUXA",NA
"DYNAP",NA
"EBI3",NA
"ECSCR",NA
"EHF",NA
"ELOVL3",NA
"ENTPD8",NA
"EPN3",NA
"ERAS",NA
"ERICH4",NA
"ERICH6",NA
"ERVV-2",NA
"ESPN",NA
"ESRP2",NA
"ESRRB",NA
"EXOC3L4",NA
"F11",NA
"F13A1",NA
"F2",NA
"F5",NA
"FABP4",NA
"FAM166B",NA
"FAM177B",NA
"FAM186A",NA
"FAM205C",NA
"FAM221B",NA
"FAM3D",NA
"FAM81B",NA
"FAM83A",NA
"FAM83E",NA
"FAM9B",NA
"FAM9C",NA
"FBXO40",NA
"FBXO47",NA
"FCER1A",NA
"FCGR3A",NA
"FCN3",NA
"FCRL2",NA
"FCRL3",NA
"FCRL6",NA
"FETUB",NA
"FGF20",NA
"FHL5",NA
"FLG2",NA
"FMR1NB",NA
"FNDC8",NA
"FOSL1",NA
"FOXD4L5",NA
"FOXD4L6",NA
"FOXF1",NA
"FOXL2",NA
"FOXQ1",NA
"FPR1",NA
"FPR2",NA
"FSHR",NA
"FUT3",NA
"FUT5",NA
"G6PC2",NA
"GAL",NA
"GALP",NA
"GALR2",NA
"GAPT",NA
"GAS2L2",NA
"GATA1",NA
"GATA2",NA
"GATA3",NA
"GATA6",NA
"GBP5",NA
"GBP6",NA
"GBX2",NA
"GCGR",NA
"GCM1",NA
"GCNT7",NA
"GFI1",NA
"GFRA4",NA
"GGT6",NA
"GIMAP1",NA
"GIMAP6",NA
"GIPC3",NA
"GJA4",NA
"GJD4",NA
"GLIPR1L1",NA
"GLP2R",NA
"GLRA1",NA
"GLTPD2",NA
"GNGT2",NA
"GNRH2",NA
"GOLGA6L6",NA
"GOLGA8O",NA
"GP2",NA
"GP9",NA
"GPAT2",NA
"GPIHBP1",NA
"GPR171",NA
"GPR18",NA
"GPR183",NA
"GPR20",NA
"GPR78",NA
"GPR84",NA
"GPRC5D",NA
"GPT",NA
"GRHL3",NA
"GRK7",NA
"GSDMC",NA
"GUCA1C",NA
"GUCY2C",NA
"GUCY2F",NA
"GYS2",NA
"GZMA",NA
"HAL",NA
"HAMP",NA
"HBA2",NA
"HBB",NA
"HBD",NA
"HBG1",NA
"HCAR1",NA
"HCAR3",NA
"HEPACAM2",NA
"HFE",NA
"HHIPL2",NA
"HIGD1B",NA
"HIPK4",NA
"HMGCS2",NA
"HOXB3",NA
"HOXC8",NA
"HOXD13",NA
"HPD",NA
"HPN",NA
"HPR",NA
"HSD11B1",NA
"HTR1D",NA
"HTR3A",NA
"HTRA4",NA
"ICAM2",NA
"ICAM4",NA
"IFIT1B",NA
"IFNE",NA
"IGFL2",NA
"IGFN1",NA
"IGSF6",NA
"IL10",NA
"IL13",NA
"IL15RA",NA
"IL17B",NA
"IL17REL",NA
"IL18R1",NA
"IL1R1",NA
"IL1R2",NA
"IL21R",NA
"IL5RA",NA
"IL6",NA
"IL7R",NA
"IMPG1",NA
"INHBE",NA
"INSL3",NA
"INSL5",NA
"INSRR",NA
"IRS4",NA
"IRX3",NA
"ISM2",NA
"IZUMO2",NA
"KCNJ1",NA
"KCNK13",NA
"KCNK17",NA
"KCNK5",NA
"KCNK7",NA
"KDF1",NA
"KERA",NA
"KIF25",NA
"KIF4B",NA
"KLF17",NA
"KLHDC7A",NA
"KLHDC7B",NA
"KLHL30",NA
"KLHL33",NA
"KLK10",NA
"KLK2",NA
"KLK6",NA
"KLK7",NA
"KLRB1",NA
"KLRC4",NA
"KNCN",NA
"KREMEN2",NA
"KRT1",NA
"KRTAP11-1",NA
"KRTAP5-5",NA
"LAIR1",NA
"LAPTM5",NA
"LCK",NA
"LCN12",NA
"LCN2",NA
"LCP2",NA
"LGALS12",NA
"LGSN",NA
"LHFPL1",NA
"LHX3",NA
"LILRA4",NA
"LILRB2",NA
"LILRB4",NA
"LIN28A",NA
"LIPF",NA
"LRCOL1",NA
"LRIT2",NA
"LRIT3",NA
"LRRC18",NA
"LRRC32",NA
"LRRC71",NA
"LRRC8E",NA
"LTA",NA
"LTF",NA
"LY6G6F",NA
"LY75",NA
"LY9",NA
"LYZL4",NA
"MAFA",NA
"MAGEA10",NA
"MAGEA12",NA
"MAGEB18",NA
"MAGEE2",NA
"MAL",NA
"MAT1A",NA
"MC5R",NA
"MEIKIN",NA
"MEOX1",NA
"MEOX2",NA
"MGAM2",NA
"MIA2",NA
"MLPH",NA
"MMP21",NA
"MMP25",NA
"MMP26",NA
"MNDA",NA
"MOG",NA
"MOGAT1",NA
"MOS",NA
"MROH2A",NA
"MS4A10",NA
"MS4A14",NA
"MS4A2",NA
"MS4A6A",NA
"MS4A8",NA
"MSLN",NA
"MSMP",NA
"MT1G",NA
"MUC15",NA
"MUC16",NA
"MUC17",NA
"MUC2",NA
"MUC6",NA
"MUSK",NA
"MYBPC2",NA
"MYEOV",NA
"MYH4",NA
"MYO1A",NA
"MZB1",NA
"NANOS2",NA
"NCF2",NA
"NCF4",NA
"NCMAP",NA
"NFATC1",NA
"NKX2-2",NA
"NKX6-3",NA
"NMRK2",NA
"NMUR2",NA
"NOD2",NA
"NOX5",NA
"NPPB",NA
"NPVF",NA
"NR1I2",NA
"NRN1L",NA
"NUTM1",NA
"NXNL1",NA
"OASL",NA
"OCM2",NA
"ODF1",NA
"OLAH",NA
"OMD",NA
"OOSP1",NA
"OOSP2",NA
"OPALIN",NA
"OPN5",NA
"OR13A1",NA
"OR13C2",NA
"OR2B6",NA
"OR2H1",NA
"OR2J3",NA
"OR2T8",NA
"OR51B5",NA
"OR51B6",NA
"OR52H1",NA
"OR52N2",NA
"OR52N4",NA
"OR56A1",NA
"OR9Q1",NA
"OSR1",NA
"OSR2",NA
"OTUD6A",NA
"OVOL1",NA
"OVOL3",NA
"OXER1",NA
"OXT",NA
"P2RX1",NA
"P2RY13",NA
"P2RY14",NA
"P2RY2",NA
"PABPC3",NA
"PAPOLB",NA
"PARP15",NA
"PAX3",NA
"PDCD1LG2",NA
"PDCL2",NA
"PDE6C",NA
"PEG3",NA
"PF4",NA
"PGM5",NA
"PGPEP1L",NA
"PGR",NA
"PHGR1",NA
"PHOSPHO1",NA
"PHOX2B",NA
"PIGR",NA
"PIK3R5",NA
"PIRT",NA
"PKD2L2",NA
"PKDREJ",NA
"PKLR",NA
"PLCZ1",NA
"PLEKHS1",NA
"PON3",NA
"POTEM",NA
"POU4F2",NA
"POU5F1B",NA
"PPEF2",NA
"PPP1R27",NA
"PRAM1",NA
"PRAP1",NA
"PRG4",NA
"PRH2",NA
"PRIMA1",NA
"PROC",NA
"PRODH2",NA
"PROZ",NA
"PRPH2",NA
"PRR15",NA
"PRR18",NA
"PRR23A",NA
"PRR23C",NA
"PRR29",NA
"PRSS16",NA
"PRSS8",NA
"PTF1A",NA
"PTGER1",NA
"PTGER2",NA
"PTGIR",NA
"PTPRC",NA
"RAB17",NA
"RAB41",NA
"RAD21L1",NA
"RAET1E",NA
"RASAL3",NA
"RASGRP4",NA
"RBP2",NA
"RD3",NA
"REC114",NA
"RESP18",NA
"RFPL4B",NA
"RGL3",NA
"RGL4",NA
"RGS1",NA
"RGS18",NA
"RGS9BP",NA
"RHAG",NA
"RHD",NA
"RIN1",NA
"RIPK3",NA
"RNF113B",NA
"RNF151",NA
"RNF212B",NA
"RP1L1",NA
"RPGRIP1",NA
"RTL1",NA
"RTP4",NA
"RXFP2",NA
"S100A3",NA
"S100A8",NA
"S100Z",NA
"S1PR4",NA
"SAG",NA
"SAMD7",NA
"SASH3",NA
"SCART1",NA
"SCEL",NA
"SCGB1D4",NA
"SCIMP",NA
"SCN4A",NA
"SCNN1B",NA
"SECTM1",NA
"SELE",NA
"SEMA3G",NA
"SERPINA1",NA
"SH2D1A",NA
"SH2D3A",NA
"SH3RF2",NA
"SHE",NA
"SHOX",NA
