"gene","cope"
"ACSL5",NA
"ADRA1B",NA
"ATP8B3",NA
"BLNK",NA
"BPIFC",NA
"BTK",NA
"C16orf54",NA
"CCDC69",NA
"CCL5",NA
"CCNO",NA
"CD274",NA
"CD4",NA
"CD72",NA
"CERKL",NA
"CHRNA6",NA
"COL2A1",NA
"COL8A1",NA
"CPLX3",NA
"DDX4",NA
"DENND1C",NA
"DMRT3",NA
"DPEP2",NA
"EBI3",NA
"FAM9C",NA
"FAT2",NA
"FEZF1",NA
"FGL2",NA
"FOXF1",NA
"GALR1",NA
"GPBAR1",NA
"GPIHBP1",NA
"GPR34",NA
"HRCT1",NA
"IL12RB1",NA
"IL5RA",NA
"KCNG2",NA
"KLHL31",NA
"LHX6",NA
"LTB",NA
"M1AP",NA
"MAL",NA
"MICB",NA
"NCMAP",NA
"NLRC4",NA
"NUP210L",NA
"OTOA",NA
"PAQR5",NA
"PEAR1",NA
"PKD2L1",NA
"PLIN4",NA
"RGL3",NA
"RHBG",NA
"RHOH",NA
"SEMA3G",NA
"SH3TC1",NA
"SHOX2",NA
"SIGLEC11",NA
"SIX1",NA
"ST6GALNAC1",NA
"STEAP1B",NA
"TEKT3",NA
"TNFAIP8L2",NA
"TP63",NA
"TRDN",NA
"TTC29",NA
"TWIST1",NA
"VWA5B2",NA
"ZDHHC22",-0.452556998534935
"NRG1",-0.437273385977607
"GDF10",-0.390182105981451
"CA8",-0.363709208858281
"GABRB1",-0.346129203313681
"MOV10L1",-0.336780627877425
"MUC12",-0.331067819981208
"ZNF783",-0.32816668221731
"SPP1",-0.323953875817512
"PCDHGB2",-0.322465148019106
"FAM135B",-0.318253461313344
"ATP10A",-0.316622099449076
"COG3",-0.308340155871996
"IGSF1",-0.304370091760456
"NUP93",-0.304048582995951
"SLC35F3",-0.300165331774069
"NTNG1",-0.298826942250327
"TLR5",-0.294790439961886
"SLC3A1",-0.294662950151332
"ADAM28",-0.293555779335849
"WNT2B",-0.285152136442218
"ZNF385C",-0.282557653655073
"ANKEF1",-0.281946467802108
"NID2",-0.281344322882372
"CDRT4",-0.280607388563006
"CD74",-0.277867465262724
"PBX3",-0.273182413488846
"MYO1H",-0.272482499162275
"MGAT4C",-0.26919959473151
"RNF212",-0.269087459035734
"MEST",-0.266207804379593
"LEPR",-0.266060531669345
"CD14",-0.265549033705165
"TYMP",-0.265112536830214
"LPCAT2",-0.261485438423423
"TC2N",-0.258648832165796
"PCP4",-0.257396674424364
"ADAM8",-0.25694020499792
"LYPD1",-0.25639567617907
"PAPPA",-0.250539243354856
"ZNF471",-0.246605912277811
"FRMPD2",-0.245705509762127
"EDA",-0.245616194302782
"IQCH",-0.243795591990808
"C4orf47",-0.243513865053763
"DNER",-0.24251012145749
"ITGA5",-0.240425157711707
"PTGES3L",-0.23880345608172
"GREM1",-0.23408666154727
"TPD52L1",-0.233810661256914
"RGS4",-0.232143319801401
"SLCO1A2",-0.231304399134762
"EMILIN2",-0.229893156477861
"NXPH3",-0.229381301449469
"MAGEL2",-0.226307683129834
"FSTL5",-0.222944939117428
"ATF3",-0.22089660585038
"RORA",-0.220778051818707
"IFI30",-0.220719110749018
"GPR132",-0.219611305367442
"PRAM1",-0.219611305367442
"GPR160",-0.219431991146106
"PAPLN",-0.219417516262938
"VAV3",-0.219270468156599
"CAPN3",-0.2186615049499
"GAD1",-0.217636291399403
"ADGRL2",-0.216371369984889
"ERBB3",-0.215534687100784
"DHDH",-0.215314249519612
"DPF3",-0.211250548285074
"C5AR1",-0.210900181174565
"PCDHA3",-0.210367015790352
"HLX",-0.208995362038263
"SIDT1",-0.208981005496117
"HCST",-0.207750620005253
"GPRIN2",-0.207232690995025
"CRIP1",-0.204160539382767
"SMOC2",-0.202300300833346
