"nhoods1","nhoods2","sim"
"100492","147511",0.651371512367196
"101486","106335",0.68715260452409
"101695","161450",0.64838365986846
"102390","41310",0.679838324399921
"106388","213970",0.681213848137889
"106420","199899",0.682020970379366
"106878","43303",0.639885873433781
"107896","66299",0.631258509451554
"108193","125873",0.723356501872266
"108995","126188",0.683525847493544
"109282","177225",0.622067125897279
"109422","85549",0.688641938857672
"113026","158331",0.672643011535031
"113465","3766",0.6427272562087
"113527","49525",0.686162596025311
"114278","24904",0.65230556373042
"116593","76168",0.737030689933613
"116965","190683",0.677360857536363
"118070","6456",0.684564070382122
"119041","158177",0.634973853330098
"120163","1247",0.733290340076155
"121516","70796",0.626961266185725
"122353","169385",0.669614516913909
"122582","192152",0.704417245786024
"123866","149690",0.642502573074983
"1242","147395",0.699928192283755
"125250","121421",0.677095258510881
"125613","166552",0.673512739646116
"128486","47006",0.657294791531443
"129958","235467",0.674915513075748
"130093","196288",0.701292431031073
"130898","238018",0.651139216555392
"131719","187635",0.679387693610066
"132902","173524",0.662002295036873
"133982","181702",0.69912457218577
"134065","179461",0.682651226648055
"134096","103920",0.812406585647621
"134142","57856",0.70761766246705
"136985","201318",0.683237182552266
"138303","52314",0.765655899889026
"138477","37339",0.627532330103196
"139397","49993",0.715791533276909
"139528","209423",0.738682854947414
"141889","171722",0.660656095744854
"145612","55980",0.647083923858729
"145891","162510",0.697081084962514
"146339","205783",0.691704603400936
"14743","173664",0.638836428048948
"14956","38603",0.678116204106629
"150354","73241",0.702991589758138
"152516","205658",0.719761959370974
"15299","206684",0.717630915214496
"152990","104203",0.691412887378764
"153615","224043",0.700015493708779
"153667","104314",0.70367218670414
"153894","157740",0.665627061216423
"153969","137499",0.677568098637057
"154012","153120",0.676336533179174
"15548","171173",0.720415884963567
"156387","39783",0.687219074275911
"1567","59439",0.687068136061964
"156955","178352",0.650516382706415
"15823","93335",0.789435010068815
"15832","140888",0.724138798392811
"15861","28037",0.71888407979721
"15961","146302",0.647417281588288
"159775","98927",0.671682075750804
"160031","27579",0.686881431304314
"16025","140400",0.685122371914377
"162878","25895",0.69188943118668
"163036","136630",0.671851909856286
"163145","83430",0.68713491812388
"163378","137005",0.667578433864756
"163582","143250",0.665733235631522
"16459","7448",0.729544357798913
"164964","138215",0.682380335627313
"164980","171688",0.70257830144225
"165261","148351",0.650981927550247
"165676","145027",0.689102389262374
"165952","27776",0.692322360007964
"165990","186156",0.662923944500025
"166921","191200",0.70105284808999
"168277","147535",0.682209597182435
"168297","148140",0.679573612106665
"168413","157621",0.667141699328023
"171220","159519",0.666535860005682
"17159","140280",0.675247463551984
"174261","46006",0.67732933331429
"174347","163091",0.671420283649086
"17588","36927",0.672012049529485
"17644","160561",0.675764762295631
"178278","65546",0.623192850277752
"17893","17613",0.683520486898111
"181833","37382",0.663036635645169
"182079","24760",0.640765320756273
"186136","154499",0.693798564764492
"186138","59535",0.69869996287743
"186250","67076",0.712168958215945
"18628","27324",0.700507686342854
"18647","137459",0.582618874650837
"186530","74455",0.693075358320612
"18753","56485",0.683040218588473
"191638","104517",0.691618234647521
"193103","46397",0.633751716772896
"194155","173300",0.676001022866174
"19417","39800",0.729961995986615
"19477","44703",0.740894816143227
"195028","113537",0.705758114563373
"195041","146839",0.5820135445964
"195072","209315",0.658705846117045
"195361","64258",0.786028995052173
"195592","230945",0.78693844472344
"196225","28866",0.705836754016542
"196244","201914",0.676301197478418
"197174","54326",0.790763390332435
"197560","188297",0.626070429009717
"197572","94667",0.780832221535555
"197782","60190",0.621818668298759
"198354","185644",0.652612615804765
"198413","162480",0.707898231393108
"198450","213810",0.798288550360478
"198517","195227",0.704200695741249
"200127","196684",0.717147513418583
"200148","236080",0.731976578103495
"200150","125697",0.680520330134537
"200232","197878",0.727942596821195
"200270","167161",0.70159822221601
"200726","19591",0.732314767284788
"20076","116044",0.683649409485835
"200820","97067",0.638594421270241
"200853","172089",0.644687732663366
"201376","19487",0.696094369622127
"201763","141405",0.69615636570352
"201979","5700",0.678693636600737
"202040","18190",0.711129039114331
"202155","49614",0.817603102677789
"20256","192130",0.715153359321547
"20266","79606",0.641884917138268
"202669","96699",0.691991220194774
"202691","102316",0.776632785005991
"202721","51140",0.755337352116781
"203482","124251",0.748044731966431
"203517","31483",0.786940407715126
"203888","114316",0.713305986729481
"204108","116515",0.673601013367524
"204164","130110",0.742306775829201
"20417","22027",0.655495739507753
"204253","50633",0.796908514022621
"204313","113464",0.720795057985168
"204535","41389",0.717901794982196
"204756","169367",0.637553714370711
"205345","191673",0.749487177221509
"20568","29278",0.727686873533333
"205683","44255",0.70270632417575
"206443","3941",0.646932318001194
"206490","105230",0.671858072387621
"206535","116885",0.662240766448988
"206575","225369",0.682240431529009
"206796","240247",0.562560871635689
"20685","206113",0.743936198037725
"206953","204058",0.684662147861458
"207358","96444",0.69402724393808
"20753","187023",0.709290631283791
"207557","173590",0.699695951270671
"207940","196516",0.63901440632984
"208026","81304",0.658585740429674
"208591","218895",0.769025319043826
"208899","208982",0.724746959640754
"209193","41565",0.677639840329609
"209882","240584",0.772520404086772
"210124","168399",0.725596496368389
"210277","50334",0.791458486314733
"210596","150144",0.650535396422184
"210605","71082",0.743337199296961
"2108","163661",0.680319751539457
"210812","81349",0.810497058448427
"211126","94768",0.701830064049517
"211754","173519",0.747289669814787
"212136","164298",0.666414403127364
"212808","243692",0.754191495680964
"212947","243105",0.676359927532382
"213694","121438",0.637671902663616
"213816","142552",0.700972547026391
"214082","114518",0.731543220247021
"214416","207454",0.783111320884918
"214555","54173",0.793368925612486
"214590","222054",0.745538702163407
"214610","146109",0.648988184347241
"214612","31959",0.647372320575389
"21470","181882",0.690020710611504
"214789","188344",0.718876396414419
"215083","157882",0.620182449367221
"215247","115925",0.766761335224851
"215254","120835",0.716287220159444
"21557","67151",0.615730129247117
"215935","215551",0.77098803857241
"216204","242109",0.660441906858627
"216334","202625",0.702726535510836
"216368","69075",0.701838761915886
"217025","159228",0.555522672687467
"217051","34097",0.682046971634039
"217052","56726",0.773686015364622
"217324","27631",0.655779534632157
"217393","164413",0.721647748181247
"217429","222401",0.668303541329087
"217544","76709",0.709005543539206
"217555","124997",0.703086398000943
"217922","166457",0.793862595587198
"218083","113366",0.636543103770325
"218440","214931",0.790614103039485
"218958","188735",0.75374670948953
"219108","181711",0.741226303763339
"219129","171045",0.707574737780633
"219186","63071",0.799367554357663
"219317","64773",0.811548896663281
"219766","198378",0.751699360915102
"219861","222610",0.692819533325421
"220529","213594",0.761022570952693
"221144","227967",0.76195281001302
"221161","50032",0.816073494985373
"221334","81595",0.697181445208685
"221527","163002",0.586342161928899
"222280","94630",0.740919947102451
"222961","155063",0.528383054857555
"223430","141022",0.666191010053301
"223508","172973",0.704438807810017
"223594","16352",0.732619215847668
"223835","205750",0.800514803741083
"224126","131276",0.704375307139688
"224184","70485",0.721281948790417
"224335","53638",0.778483288915658
"2245","179223",0.688810280167272
"224512","30981",0.702113890722799
