"gene","cope"
"ASB17",NA
"C10orf71",NA
"C1orf146",NA
"CCL1",NA
"CCL23",NA
"CCR8",NA
"CEACAM3",NA
"CEACAM6",NA
"DMRTC2",NA
"FASLG",NA
"FGF3",NA
"GPR141",NA
"HAND1",NA
"HOXA11",NA
"IFNE",NA
"KIR2DL4",NA
"KRTAP4-12",NA
"KRTAP4-4",NA
"LCE2A",NA
"MSMB",NA
"MYBPH",NA
"NOTO",NA
"NPS",NA
"OR10Q1",NA
"OR10W1",NA
"OR11G2",NA
"OR4Q3",NA
"OR5AU1",NA
"OR8B12",NA
"PCBD2",NA
"PGLYRP3",NA
"PRB4",NA
"PRR30",NA
"SERPINB3",NA
"SMIM23",NA
"SPRR3",NA
"SPRR4",NA
"TMEM174",NA
"TMEM202",NA
"UGT2B11",NA
"ZG16",NA
"NRG1",-0.143151891068643
"FRMPD2",-0.118833695404218
"INO80C",-0.105213408243415
"KCNH7",-0.0920270962648544
"KYNU",-0.0632988389054526
"SLC6A5",-0.048114621190592
"CTNND1",-0.0458276231314678
"CCDC158",-0.0348175919590661
"CTRC",-0.0339518779226436
"DNAH3",-0.0328824295305494
"ASB15",-0.0325478258018814
"CCKAR",-0.0324177540165297
"TAS2R1",-0.0312863531000733
"SIM2",-0.0304081655369771
"LRRC52",-0.0297591842749479
"DSG3",-0.0293674224267207
"TNFSF14",-0.0292884268729784
"CD84",-0.0289366647229928
"TNMD",-0.0284282363532112
"SOX30",-0.028258055171881
"ISM1",-0.0281710440956214
"FCGR2A",-0.0280766870524085
"SULT1E1",-0.02798458877454
"ATOH1",-0.0275341743815479
"CNGB3",-0.0269364229586204
"C2CD4B",-0.0268266415274082
"MPL",-0.0262687099411345
"CARMIL1",-0.0261505712570514
"LCT",-0.0254824134198942
"PROKR1",-0.0248495804288108
"ALAS2",-0.0241863890119019
"AVPR1B",-0.0240780843905236
"STAP1",-0.0236643383945774
"RGS1",-0.0234067485265102
"KLRF1",-0.0232770202917916
"CGA",-0.0232477305188562
"CXCL1",-0.0232446344438328
"IL1A",-0.0229285257391808
"GPIHBP1",-0.0229189883520143
"PLA2G10",-0.0227447716649303
"ACMSD",-0.0227133438953715
"MYOT",-0.0224623511609363
"JUND",-0.0222492962578961
"IGSF6",-0.0219383797923295
"ANGPT4",-0.0217204190853271
"PRRX2",-0.0215280858192085
"AICDA",-0.0214839789371146
"CAPN11",-0.0210061869671601
"NUTM1",-0.0210005441060938
"ZNF492",-0.0207814419823864
"TAL1",-0.0206766161771373
"TSPAN32",-0.0206504536811313
"GIMAP8",-0.0206073803153588
"FCMR",-0.020581473514547
"ANKRD1",-0.0205814596709293
"FAM177B",-0.02049437559848
"STOML3",-0.0201460466588627
"PAGE4",-0.0201460460360329
"TTLL10",-0.0199837600244191
"COL17A1",-0.0199586655503623
"PHOX2B",-0.0196641875661858
"ISL1",-0.0193579111481335
"FCGR3A",-0.019293715936601
"BCL2A1",-0.0190602970860471
"TRPM1",-0.019015078093813
"PTGER2",-0.0188871079802101
"CYP4F12",-0.0188120204196504
"LDLRAD1",-0.018812017917807
"PCSK9",-0.0187548827345971
"PIWIL3",-0.0186876943296193
"GFRAL",-0.0186541659478271
"SPTA1",-0.0184473991831351
"COL10A1",-0.0183550305677238
"SPINK13",-0.0181925404193518
"SH2D1A",-0.0181493172650335
"OR56B1",-0.0177436740529185
"RXFP2",-0.0177301937750032
"SLC6A2",-0.0177039239206173
"NR5A2",-0.0174643057426733
"IFIT1B",-0.0172293709158202
"CD209",-0.017227255892277
"KLRC1",-0.0171718425837602
"IL1RN",-0.0170894958245967
"FAM186A",-0.0168820989781284
"CXCL11",-0.0167409832724929
"OOSP2",-0.0167238304131886
"PAK5",-0.0167185940185942
"MUC17",-0.0166423534511466
"TGM5",-0.0166362135464152
