"gene","cope"
"A4GNT",NA
"ABCB11",NA
"ACE2",NA
"ACOT12",NA
"ACOT6",NA
"ACSL5",NA
"ACTL8",NA
"ACTN3",NA
"ACY3",NA
"ADAD2",NA
"ADAMTSL5",NA
"ADGRE2",NA
"ADGRE5",NA
"ADGRG3",NA
"ADGRG4",NA
"ADGRG5",NA
"ADH4",NA
"ADIPOQ",NA
"ADORA3",NA
"ADRA2B",NA
"AGMO",NA
"AGRP",NA
"AICDA",NA
"AIRE",NA
"ALAS2",NA
"ALB",NA
"ALDH3A1",NA
"ALOX5AP",NA
"ALPP",NA
"ALX1",NA
"ALX3",NA
"AMHR2",NA
"ANGPTL7",NA
"ANKK1",NA
"ANKRD2",NA
"ANKRD30B",NA
"ANKRD30BL",NA
"ANKRD33",NA
"ANKRD34B",NA
"ANKRD60",NA
"ANKRD66",NA
"APBB1IP",NA
"APCDD1L",NA
"APELA",NA
"APOBEC4",NA
"APOBR",NA
"APOL5",NA
"AQP7",NA
"ARHGAP40",NA
"ARL11",NA
"ARRDC5",NA
"ASB11",NA
"ASB12",NA
"ASB4",NA
"ASB9",NA
"ASGR2",NA
"ASIP",NA
"ASPG",NA
"ASPN",NA
"ATP13A5",NA
"ATP4A",NA
"ATP4B",NA
"ATP6V0D2",NA
"ATP6V1B1",NA
"AVP",NA
"AZGP1",NA
"BANK1",NA
"BATF",NA
"BATF2",NA
"BCO1",NA
"BDKRB1",NA
"BEST2",NA
"BFSP2",NA
"BHMT2",NA
"BIRC7",NA
"BLK",NA
"BPIFC",NA
"BRS3",NA
"BTBD16",NA
"BTK",NA
"BTN1A1",NA
"BTNL2",NA
"C10orf105",NA
"C11orf16",NA
"C11orf21",NA
"C11orf40",NA
"C11orf97",NA
"C12orf50",NA
"C12orf56",NA
"C14orf180",NA
"C14orf39",NA
"C16orf89",NA
"C19orf84",NA
"C1orf127",NA
"C1orf146",NA
"C20orf202",NA
"C2CD4B",NA
"C2orf66",NA
"C3orf49",NA
"C4BPA",NA
"C4orf51",NA
"C5orf58",NA
"C6",NA
"C6orf132",NA
"C7",NA
"C7orf57",NA
"C9orf152",NA
"C9orf57",NA
"CACNA2D4",NA
"CALHM1",NA
"CALML6",NA
"CAPN6",NA
"CAPN8",NA
"CASP5",NA
"CASQ2",NA
"CATSPERD",NA
"CBLC",NA
"CBLN3",NA
"CCDC166",NA
"CCDC17",NA
"CCDC54",NA
"CCDC89",NA
"CCL20",NA
"CCL28",NA
"CCL8",NA
"CCNO",NA
"CD163",NA
"CD164L2",NA
"CD300C",NA
"CD300E",NA
"CD300LB",NA
"CD33",NA
"CD3D",NA
"CD53",NA
"CD5L",NA
"CD69",NA
"CD7",NA
"CD79B",NA
"CD80",NA
"CDA",NA
"CDC14C",NA
"CDHR4",NA
"CDHR5",NA
"CDKN2A",NA
"CEACAM5",NA
"CEBPE",NA
"CES1",NA
"CFAP45",NA
"CFAP47",NA
"CFB",NA
"CGA",NA
"CHI3L2",NA
"CHIT1",NA
"CHMP4C",NA
"CHP2",NA
"CHRNG",NA
"CHST4",NA
"CHST5",NA
"CKMT2",NA
"CLCA1",NA
"CLCA2",NA
"CLCNKA",NA
"CLDN6",NA
"CLDN9",NA
"CLEC10A",NA
"CLEC19A",NA
"CLEC3A",NA
"CLEC4D",NA
"CLEC5A",NA
"CLEC6A",NA
"CLIC6",NA
"CLPS",NA
"CLPSL2",NA
"CNGA1",NA
"CNGB3",NA
"COL6A5",NA
"CPB2",NA
"CR1",NA
"CRACR2A",NA
"CRACR2B",NA
"CRB3",NA
"CRP",NA
"CRTAM",NA
"CRX",NA
"CRYBB3",NA
"CRYGN",NA
"CSNK1A1L",NA
"CST6",NA
"CT55",NA
"CT62",NA
"CTCFL",NA
"CTRB2",NA
"CTRC",NA
"CTSE",NA
"CTSF",NA
"CXCL10",NA
"CXCL13",NA
"CXCL5",NA
"CXCL6",NA
"CXCR1",NA
"CYP1A1",NA
"CYP1A2",NA
"CYP24A1",NA
"CYP27B1",NA
"CYP2S1",NA
"CYP2W1",NA
"CYP4F11",NA
"CYP7A1",NA
"CYSLTR2",NA
"CYTH4",NA
"DAO",NA
"DBH",NA
"DBNDD2",NA
"DCAF4L2",NA
"DEFB134",NA
"DGKK",NA
"DHRS2",NA
"DIO1",NA
"DKK4",NA
"DLX3",NA
"DMBT1",NA
"DMRT2",NA
"DNAAF3",NA
"DNAI2",NA
"DNASE1L3",NA
"DOK2",NA
"DOK7",NA
"DPEP1",NA
"DPEP3",NA
"DRC7",NA
"DUOXA1",NA
"DUXA",NA
"DYNAP",NA
"ECSCR",NA
"EDN2",NA
"EFCAB3",NA
"ELANE",NA
"ELOVL3",NA
"EN2",NA
"ENDOU",NA
"ENPP6",NA
"ENTPD8",NA
"EPB42",NA
"EPO",NA
"EPX",NA
"ERG",NA
"ERICH6",NA
"ERP27",NA
"ERVV-2",NA
"ETV7",NA
"EVPL",NA
"F11",NA
"F2",NA
"F5",NA
"F7",NA
"FABP4",NA
"FAM163B",NA
"FAM166B",NA
"FAM186B",NA
"FAM205C",NA
"FAM216B",NA
"FAM3D",NA
"FAM83A",NA
"FASLG",NA
"FBP1",NA
"FBXO39",NA
"FBXO40",NA
"FCAR",NA
"FCMR",NA
"FCN3",NA
"FCRL2",NA
"FCRL6",NA
"FETUB",NA
"FGD2",NA
"FGF20",NA
"FHL5",NA
"FITM1",NA
"FLG",NA
"FLG2",NA
"FMO4",NA
"FMR1NB",NA
"FNDC8",NA
"FOLH1",NA
"FOSL1",NA
"FOXD2",NA
"FOXD4L6",NA
"FOXF1",NA
"FOXL2",NA
"FOXL2NB",NA
"FRK",NA
"FUT5",NA
"FUT7",NA
"G6PC2",NA
"GABRP",NA
"GAGE10",NA
"GALP",NA
"GALR3",NA
"GAS2L2",NA
"GATA2",NA
"GBP4",NA
"GBP6",NA
"GCM1",NA
"GCM2",NA
"GCNT7",NA
"GDNF",NA
"GFRA4",NA
"GFRAL",NA
"GGT6",NA
"GIMAP1",NA
"GIMAP4",NA
"GIMAP7",NA
"GIMAP8",NA
"GIPC3",NA
"GJA4",NA
"GJA5",NA
"GJC3",NA
"GJD3",NA
"GJD4",NA
"GLIPR1L1",NA
"GLP1R",NA
"GLP2R",NA
"GLTPD2",NA
"GMNC",NA
"GNGT2",NA
"GNRH2",NA
"GOLGA6L6",NA
"GOLGA8O",NA
"GOT1L1",NA
"GP9",NA
"GPBAR1",NA
"GPIHBP1",NA
"GPR171",NA
